id,loan_amnt,int_rate,issue_d,purpose,addr_state
3660,3600,15.27%,11/1/11,debt_consolidation,FL
3661,15000,18.25%,11/1/11,debt_consolidation,NJ
3662,24000,17.58%,11/1/11,debt_consolidation,CA
3663,4950,11.71%,11/1/11,debt_consolidation,WI
3664,5875,12.69%,11/1/11,debt_consolidation,OR
3665,20000,18.64%,11/1/11,debt_consolidation,MD
3666,10000,6.03%,11/1/11,wedding,CT
3667,3000,16.29%,11/1/11,vacation,CA
3668,25000,23.91%,11/1/11,debt_consolidation,FL
3669,35000,12.42%,11/1/11,debt_consolidation,NY
3670,12000,18.25%,11/1/11,other,FL
3671,5000,6.03%,11/1/11,debt_consolidation,CA
3672,5825,6.62%,11/1/11,other,CA
3673,2000,7.90%,11/1/11,debt_consolidation,MN
3674,17500,11.71%,11/1/11,house,MI
3675,30000,13.49%,11/1/11,home_improvement,GA
3676,12500,7.90%,11/1/11,credit_card,AZ
3677,12000,6.03%,11/1/11,debt_consolidation,WA
3678,4600,6.03%,11/1/11,credit_card,NY
3679,12000,13.49%,11/1/11,debt_consolidation,MD
3680,12000,6.62%,11/1/11,debt_consolidation,GA
3681,1000,16.29%,11/1/11,other,IL
3682,8000,6.03%,11/1/11,debt_consolidation,FL
3683,7500,12.42%,11/1/11,debt_consolidation,NV
3684,5800,10.65%,11/1/11,credit_card,PA
3685,2400,8.90%,11/1/11,major_purchase,PA
3686,20000,11.71%,11/1/11,other,NY
3687,9375,21.67%,11/1/11,debt_consolidation,NV
3688,6000,6.03%,11/1/11,other,CT
3689,24000,12.69%,11/1/11,other,TX
3690,3825,17.27%,11/1/11,debt_consolidation,MI
3691,10200,12.69%,11/1/11,wedding,AR
3692,17500,18.64%,11/1/11,debt_consolidation,NC
3693,9250,7.90%,11/1/11,debt_consolidation,PA
3694,21500,6.62%,11/1/11,debt_consolidation,GA
3695,4000,14.27%,11/1/11,renewable_energy,MD
3696,35000,19.03%,11/1/11,debt_consolidation,PA
3697,12000,20.30%,11/1/11,debt_consolidation,WA
3698,3200,10.65%,11/1/11,debt_consolidation,CA
3699,4350,6.03%,11/1/11,credit_card,OH
3700,5000,7.90%,11/1/11,debt_consolidation,CA
3701,7475,7.90%,11/1/11,debt_consolidation,FL
3702,2800,7.51%,11/1/11,other,CA
3703,5300,7.90%,11/1/11,debt_consolidation,TX
3704,4000,8.90%,11/1/11,moving,PA
3705,9000,6.03%,11/1/11,home_improvement,GA
3706,8300,14.65%,11/1/11,debt_consolidation,OH
3707,12000,12.42%,11/1/11,debt_consolidation,OH
3708,16000,6.03%,11/1/11,major_purchase,OH
3709,25000,18.25%,11/1/11,debt_consolidation,KS
3710,15000,9.91%,11/1/11,other,WI
3711,20000,11.71%,11/1/11,credit_card,WA
3712,2500,7.51%,11/1/11,major_purchase,OK
3713,25600,14.65%,11/1/11,debt_consolidation,LA
3714,15000,18.25%,11/1/11,wedding,CA
3715,12000,6.62%,11/1/11,debt_consolidation,CA
3716,35000,14.27%,11/1/11,debt_consolidation,NJ
3717,11325,15.96%,11/1/11,debt_consolidation,CA
3718,21000,13.49%,11/1/11,house,MI
3719,2500,6.62%,11/1/11,other,AZ
3720,10625,7.90%,11/1/11,credit_card,OH
3721,14400,18.64%,11/1/11,debt_consolidation,CA
3722,21250,17.27%,11/1/11,small_business,CA
3723,35000,17.58%,11/1/11,debt_consolidation,CA
3724,4000,17.27%,11/1/11,debt_consolidation,MO
3725,3000,12.42%,11/1/11,other,CA
3726,4800,12.42%,11/1/11,moving,NY
3727,12000,9.91%,11/1/11,debt_consolidation,VA
3728,12000,17.27%,11/1/11,debt_consolidation,PA
3729,6000,7.90%,11/1/11,debt_consolidation,FL
3730,6000,12.69%,11/1/11,debt_consolidation,OH
3731,14000,12.42%,11/1/11,debt_consolidation,NC
3732,22125,13.49%,11/1/11,debt_consolidation,WV
3733,24000,12.69%,11/1/11,debt_consolidation,NY
3734,12000,10.65%,11/1/11,debt_consolidation,NY
3735,9450,6.62%,11/1/11,major_purchase,NY
3736,8000,6.03%,11/1/11,home_improvement,UT
3737,5600,15.96%,11/1/11,debt_consolidation,CA
3738,30000,7.90%,11/1/11,home_improvement,FL
3739,23200,20.89%,11/1/11,debt_consolidation,AK
3740,9300,14.65%,11/1/11,other,CA
3741,15000,14.27%,11/1/11,debt_consolidation,CA
3742,6075,11.71%,11/1/11,credit_card,TX
3743,4000,14.27%,11/1/11,credit_card,FL
3744,4350,15.27%,11/1/11,credit_card,CA
3745,11000,15.96%,11/1/11,small_business,NY
3746,5750,8.90%,11/1/11,debt_consolidation,CA
3747,10375,8.90%,11/1/11,debt_consolidation,VA
3748,9000,14.27%,11/1/11,home_improvement,TX
3749,10000,17.27%,11/1/11,debt_consolidation,AZ
3750,20000,11.71%,11/1/11,credit_card,NY
3751,16000,12.69%,11/1/11,debt_consolidation,NV
3752,10000,8.90%,11/1/11,debt_consolidation,OR
3753,10000,12.69%,11/1/11,major_purchase,TX
3754,12875,12.42%,11/1/11,debt_consolidation,CA
3755,4000,6.03%,11/1/11,credit_card,OK
3756,1000,11.71%,11/1/11,car,CA
3757,3500,13.49%,11/1/11,debt_consolidation,FL
3758,10200,7.90%,11/1/11,car,MD
3759,8875,19.03%,11/1/11,home_improvement,FL
3760,2300,11.71%,11/1/11,debt_consolidation,CA
3761,6850,10.65%,11/1/11,credit_card,CA
3762,6000,7.90%,11/1/11,debt_consolidation,PA
3763,12300,6.62%,11/1/11,debt_consolidation,LA
3764,14000,18.64%,11/1/11,debt_consolidation,CA
3765,14000,16.29%,11/1/11,credit_card,TX
3766,16000,7.90%,11/1/11,debt_consolidation,NY
3767,6000,15.27%,11/1/11,small_business,VA
3768,6300,11.71%,11/1/11,medical,TX
3769,35000,14.27%,11/1/11,debt_consolidation,CT
3770,6200,6.03%,11/1/11,credit_card,CA
3771,7200,8.90%,11/1/11,debt_consolidation,TX
3772,4600,11.71%,11/1/11,debt_consolidation,TX
3773,10625,6.03%,11/1/11,credit_card,TX
3774,1800,11.71%,11/1/11,home_improvement,NY
3775,15000,14.27%,11/1/11,debt_consolidation,MN
3776,18550,19.42%,11/1/11,debt_consolidation,MO
3777,7000,6.03%,11/1/11,debt_consolidation,CA
3778,10200,17.27%,11/1/11,debt_consolidation,LA
3779,16000,12.69%,11/1/11,debt_consolidation,CA
3780,2000,11.71%,11/1/11,debt_consolidation,FL
3781,13000,12.42%,11/1/11,debt_consolidation,KS
3782,8000,6.03%,11/1/11,debt_consolidation,MI
3783,7200,9.91%,11/1/11,credit_card,IL
3784,35000,11.71%,11/1/11,credit_card,NJ
3785,4400,6.62%,11/1/11,credit_card,NJ
3786,24000,8.90%,11/1/11,credit_card,AZ
3787,31825,21.67%,11/1/11,credit_card,CA
3788,14000,14.27%,11/1/11,credit_card,OH
3789,10000,13.49%,11/1/11,home_improvement,CT
3790,6000,7.51%,11/1/11,credit_card,NJ
3791,12000,9.91%,11/1/11,home_improvement,VA
3792,8000,17.58%,11/1/11,other,IL
3793,25000,16.77%,11/1/11,debt_consolidation,MD
3794,8000,12.42%,11/1/11,home_improvement,NY
3795,8000,6.62%,11/1/11,major_purchase,OH
3796,35000,21.67%,11/1/11,house,CA
3797,12000,11.71%,11/1/11,debt_consolidation,FL
3798,14000,6.03%,11/1/11,home_improvement,VA
3799,27525,22.06%,11/1/11,debt_consolidation,TX
3800,4400,16.29%,11/1/11,credit_card,NY
3801,8000,7.51%,11/1/11,home_improvement,TX
3802,30000,11.71%,11/1/11,other,OR
3803,30000,14.27%,11/1/11,debt_consolidation,WA
3804,14000,6.03%,11/1/11,small_business,MD
3805,10000,7.90%,11/1/11,major_purchase,MD
3806,4900,11.71%,11/1/11,debt_consolidation,NY
3807,14000,20.30%,11/1/11,other,FL
3808,4500,6.62%,11/1/11,major_purchase,VA
3809,15000,7.90%,11/1/11,debt_consolidation,TX
3810,22800,22.06%,11/1/11,small_business,CA
3811,12000,11.71%,11/1/11,debt_consolidation,CA
3812,20000,19.42%,11/1/11,debt_consolidation,OR
3813,25500,14.65%,11/1/11,small_business,NJ
3814,12000,8.90%,11/1/11,medical,WA
3815,14000,12.69%,11/1/11,other,CA
3816,35000,22.06%,11/1/11,small_business,CA
3817,17750,20.30%,11/1/11,debt_consolidation,GA
3818,2400,11.71%,11/1/11,other,NY
3819,35000,22.06%,11/1/11,debt_consolidation,OH
3820,14000,6.03%,11/1/11,credit_card,NC
3821,8000,14.27%,11/1/11,credit_card,IL
3822,6000,9.91%,11/1/11,major_purchase,FL
3823,4400,11.71%,11/1/11,other,NC
3824,15000,15.96%,11/1/11,debt_consolidation,FL
3825,2100,9.91%,11/1/11,major_purchase,TX
3826,18550,17.27%,11/1/11,small_business,DE
3827,6000,6.62%,11/1/11,other,WA
3828,6000,12.42%,11/1/11,other,VT
3829,6000,13.49%,11/1/11,debt_consolidation,RI
3830,14000,8.90%,11/1/11,debt_consolidation,LA
3831,9500,19.42%,11/1/11,debt_consolidation,CT
3832,6000,12.42%,11/1/11,debt_consolidation,TX
3833,4200,7.90%,11/1/11,debt_consolidation,IL
3834,20000,10.65%,11/1/11,debt_consolidation,CT
3835,1000,14.27%,11/1/11,other,DC
3836,18400,8.90%,11/1/11,other,CA
3837,12400,6.62%,11/1/11,debt_consolidation,VA
3838,15000,6.03%,11/1/11,vacation,NJ
3839,8000,9.91%,11/1/11,other,NJ
3840,2000,6.62%,11/1/11,credit_card,WA
3841,10000,12.69%,11/1/11,debt_consolidation,TX
3842,16750,14.27%,11/1/11,debt_consolidation,NC
3843,14000,14.27%,11/1/11,debt_consolidation,TX
3844,30000,8.90%,11/1/11,debt_consolidation,TX
3845,10000,7.90%,11/1/11,debt_consolidation,CA
3846,10375,11.71%,11/1/11,debt_consolidation,TX
3847,5000,15.96%,11/1/11,debt_consolidation,CA
3848,9200,6.03%,11/1/11,debt_consolidation,CO
3849,34000,14.27%,11/1/11,debt_consolidation,TX
3850,35000,12.42%,11/1/11,debt_consolidation,MO
3851,12000,12.42%,11/1/11,debt_consolidation,NY
3852,5000,9.91%,11/1/11,debt_consolidation,OH
3853,6350,11.71%,11/1/11,debt_consolidation,GA
3854,13000,16.77%,11/1/11,medical,OH
3855,35000,15.27%,11/1/11,medical,MN
3856,20000,10.65%,11/1/11,debt_consolidation,MN
3857,25000,18.25%,11/1/11,home_improvement,TX
3858,14000,13.49%,11/1/11,debt_consolidation,PA
3859,25000,12.69%,11/1/11,debt_consolidation,VA
3860,3600,16.29%,11/1/11,major_purchase,LA
3861,5500,10.65%,11/1/11,debt_consolidation,GA
3862,3600,7.51%,11/1/11,debt_consolidation,NY
3863,5000,10.65%,11/1/11,debt_consolidation,FL
3864,12000,11.71%,11/1/11,debt_consolidation,DC
3865,16000,14.65%,11/1/11,credit_card,OK
3866,15000,6.03%,11/1/11,home_improvement,FL
3867,20000,17.58%,11/1/11,debt_consolidation,CA
3868,10625,6.62%,11/1/11,debt_consolidation,WA
3869,3600,9.91%,11/1/11,small_business,OH
3870,8000,14.27%,11/1/11,other,NV
3871,8000,7.51%,11/1/11,other,NJ
3872,17000,6.03%,11/1/11,home_improvement,FL
3873,3500,9.91%,11/1/11,car,FL
3874,23000,11.71%,11/1/11,debt_consolidation,WA
3875,15000,9.91%,11/1/11,debt_consolidation,KY
3876,25000,7.90%,11/1/11,small_business,TX
3877,16000,11.71%,11/1/11,debt_consolidation,PA
3878,6625,6.62%,11/1/11,credit_card,CA
3879,3000,7.90%,11/1/11,debt_consolidation,CA
3880,26375,19.91%,11/1/11,debt_consolidation,KY
3881,25000,8.90%,11/1/11,credit_card,WA
3882,9000,7.51%,11/1/11,debt_consolidation,NJ
3883,12600,11.71%,11/1/11,debt_consolidation,PA
3884,4850,6.62%,11/1/11,debt_consolidation,CA
3885,5000,12.69%,11/1/11,credit_card,VA
3886,20000,12.69%,11/1/11,debt_consolidation,CA
3887,15000,7.51%,11/1/11,debt_consolidation,CA
3888,10000,6.03%,11/1/11,credit_card,NC
3889,35000,13.49%,11/1/11,debt_consolidation,MI
3890,6000,8.90%,11/1/11,home_improvement,NC
3891,15600,19.42%,11/1/11,home_improvement,NY
3892,1000,10.65%,11/1/11,small_business,FL
3893,27600,11.71%,11/1/11,small_business,NC
3894,15600,7.90%,11/1/11,wedding,FL
3895,8000,6.03%,11/1/11,debt_consolidation,TX
3896,27600,7.90%,11/1/11,credit_card,CA
3897,8000,16.29%,11/1/11,other,CA
3898,7200,10.65%,11/1/11,debt_consolidation,OK
3899,13600,17.27%,11/1/11,debt_consolidation,AZ
3900,18000,10.65%,11/1/11,debt_consolidation,KS
3901,10000,7.51%,11/1/11,credit_card,NY
3902,7800,16.77%,11/1/11,debt_consolidation,CA
3903,15200,19.91%,11/1/11,debt_consolidation,IL
3904,7000,7.51%,11/1/11,debt_consolidation,NY
3905,6000,12.42%,11/1/11,vacation,IL
3906,25000,18.25%,11/1/11,other,WI
3907,20000,18.25%,11/1/11,other,MA
3908,18000,12.42%,11/1/11,home_improvement,CA
3909,12000,14.27%,11/1/11,credit_card,IL
3910,2400,11.71%,11/1/11,credit_card,CA
3911,35000,14.27%,11/1/11,debt_consolidation,OH
3912,30000,7.90%,11/1/11,debt_consolidation,CA
3913,14400,10.65%,11/1/11,small_business,WI
3914,8675,7.51%,11/1/11,credit_card,CA
3915,35000,22.35%,11/1/11,small_business,AZ
3916,15000,13.49%,11/1/11,credit_card,MO
3917,4200,11.71%,11/1/11,debt_consolidation,IL
3918,6500,7.90%,11/1/11,debt_consolidation,TX
3919,14950,6.62%,11/1/11,debt_consolidation,NY
3920,24000,17.58%,11/1/11,debt_consolidation,FL
3921,9250,17.27%,11/1/11,debt_consolidation,SC
3922,4500,14.27%,11/1/11,debt_consolidation,NC
3923,6000,12.42%,11/1/11,debt_consolidation,MN
3924,12375,13.49%,11/1/11,debt_consolidation,CT
3925,12250,14.27%,11/1/11,debt_consolidation,VA
3926,35000,19.03%,11/1/11,debt_consolidation,NJ
3927,7200,11.71%,11/1/11,debt_consolidation,FL
3928,3000,14.65%,11/1/11,other,TX
3929,35000,21.67%,11/1/11,debt_consolidation,CO
3930,24000,7.90%,11/1/11,debt_consolidation,NY
3931,9000,12.42%,11/1/11,debt_consolidation,NC
3932,18000,14.65%,11/1/11,debt_consolidation,NJ
3933,15000,8.90%,11/1/11,debt_consolidation,NY
3934,18000,9.91%,11/1/11,debt_consolidation,IL
3935,5000,12.69%,11/1/11,other,OH
3936,7000,7.51%,11/1/11,debt_consolidation,MN
3937,21250,17.27%,11/1/11,debt_consolidation,NJ
3938,22400,11.71%,11/1/11,debt_consolidation,OK
3939,8500,6.62%,11/1/11,debt_consolidation,IL
3940,15000,6.03%,11/1/11,debt_consolidation,DC
3941,14800,12.69%,11/1/11,debt_consolidation,IL
3942,12000,14.65%,11/1/11,debt_consolidation,NY
3943,16000,11.71%,11/1/11,debt_consolidation,CA
3944,6000,16.29%,11/1/11,debt_consolidation,IL
3945,2400,11.71%,11/1/11,other,GA
3946,25000,18.25%,11/1/11,house,CA
3947,20000,11.71%,11/1/11,debt_consolidation,CA
3948,12000,18.25%,11/1/11,debt_consolidation,PA
3949,12000,13.49%,11/1/11,wedding,NJ
3950,15000,12.42%,11/1/11,debt_consolidation,NY
3951,12000,6.03%,11/1/11,debt_consolidation,AL
3952,15000,15.96%,11/1/11,debt_consolidation,CA
3953,15000,15.27%,11/1/11,debt_consolidation,PA
3954,18825,11.71%,11/1/11,debt_consolidation,NC
3955,1500,11.71%,11/1/11,wedding,NJ
3956,28000,9.91%,11/1/11,debt_consolidation,MA
3957,13200,16.77%,11/1/11,debt_consolidation,TX
3958,4800,11.71%,11/1/11,other,CA
3959,12000,9.91%,11/1/11,debt_consolidation,NY
3960,1500,9.91%,11/1/11,debt_consolidation,TX
3961,30000,22.06%,11/1/11,debt_consolidation,NY
3962,15000,12.42%,11/1/11,car,CA
3963,16000,7.90%,11/1/11,medical,AL
3964,1000,12.42%,11/1/11,home_improvement,GA
3965,5250,7.51%,11/1/11,home_improvement,PA
3966,1500,6.03%,11/1/11,car,MI
3967,12000,15.96%,11/1/11,other,HI
3968,13000,13.49%,11/1/11,other,CA
3969,2400,11.71%,11/1/11,credit_card,CA
3970,14000,11.71%,11/1/11,credit_card,FL
3971,14800,17.58%,11/1/11,debt_consolidation,OR
3972,15000,11.71%,11/1/11,debt_consolidation,NC
3973,8250,7.51%,11/1/11,wedding,NY
3974,7450,12.69%,11/1/11,wedding,CO
3975,22000,7.51%,11/1/11,small_business,MO
3976,3250,13.49%,11/1/11,credit_card,MN
3977,10000,10.65%,11/1/11,debt_consolidation,NY
3978,4900,15.27%,11/1/11,debt_consolidation,IL
3979,35000,11.71%,11/1/11,small_business,CA
3980,9500,14.65%,11/1/11,other,FL
3981,3800,7.51%,11/1/11,car,NY
3982,12400,22.06%,11/1/11,debt_consolidation,NJ
3983,4000,17.27%,11/1/11,other,FL
3984,7500,6.03%,11/1/11,medical,NY
3985,12000,7.51%,11/1/11,medical,AZ
3986,18000,11.71%,11/1/11,debt_consolidation,TX
3987,8875,10.65%,11/1/11,debt_consolidation,NV
3988,30000,15.96%,11/1/11,small_business,NY
3989,24625,22.06%,11/1/11,debt_consolidation,FL
3990,5000,6.03%,11/1/11,debt_consolidation,CA
3991,12000,19.91%,11/1/11,debt_consolidation,GA
3992,6000,7.90%,11/1/11,other,NC
3993,10000,7.90%,11/1/11,credit_card,CA
3994,18200,9.91%,11/1/11,credit_card,WA
3995,12000,11.71%,11/1/11,wedding,NJ
3996,6250,12.69%,11/1/11,home_improvement,AL
3997,3600,7.90%,11/1/11,major_purchase,TX
3998,17900,7.90%,11/1/11,debt_consolidation,TX
3999,18000,19.03%,11/1/11,debt_consolidation,CT
4000,8000,6.03%,11/1/11,debt_consolidation,CA
4001,30000,20.30%,11/1/11,debt_consolidation,OR
4002,7125,7.90%,11/1/11,debt_consolidation,LA
4003,6400,7.51%,11/1/11,debt_consolidation,NY
4004,17400,11.71%,11/1/11,medical,NY
4005,6000,10.65%,11/1/11,debt_consolidation,CA
4006,16000,12.42%,11/1/11,debt_consolidation,CO
4007,20000,12.69%,11/1/11,debt_consolidation,WA
4008,14000,8.90%,11/1/11,credit_card,NC
4009,35000,17.27%,11/1/11,credit_card,OH
4010,7000,12.69%,11/1/11,debt_consolidation,CA
4011,9000,16.77%,11/1/11,debt_consolidation,MN
4012,10000,15.27%,11/1/11,other,NC
4013,5500,8.90%,11/1/11,debt_consolidation,CA
4014,5000,8.90%,11/1/11,debt_consolidation,NM
4015,11000,9.91%,11/1/11,debt_consolidation,OH
4016,22000,22.06%,11/1/11,debt_consolidation,WI
4017,34000,11.71%,11/1/11,credit_card,GA
4018,15000,13.49%,11/1/11,debt_consolidation,MI
4019,12000,7.90%,11/1/11,credit_card,IL
4020,12075,12.42%,11/1/11,debt_consolidation,TX
4021,6725,6.62%,11/1/11,debt_consolidation,MA
4022,15000,6.03%,11/1/11,credit_card,AL
4023,18000,15.96%,11/1/11,debt_consolidation,NC
4024,10000,6.03%,11/1/11,debt_consolidation,NC
4025,6500,6.03%,11/1/11,other,PA
4026,16000,13.49%,11/1/11,debt_consolidation,CA
4027,24400,8.90%,11/1/11,debt_consolidation,CA
4028,25450,17.58%,11/1/11,debt_consolidation,UT
4029,12000,14.27%,11/1/11,debt_consolidation,CA
4030,20000,17.58%,11/1/11,small_business,PA
4031,10000,12.69%,11/1/11,credit_card,CA
4032,6000,15.27%,11/1/11,debt_consolidation,RI
4033,3000,17.58%,11/1/11,medical,AZ
4034,9600,7.90%,11/1/11,credit_card,CA
4035,12000,7.90%,11/1/11,debt_consolidation,CA
4036,21000,18.25%,11/1/11,small_business,CA
4037,18000,10.65%,11/1/11,other,OH
4038,12000,9.91%,11/1/11,debt_consolidation,IL
4039,10000,6.62%,11/1/11,major_purchase,CO
4040,13000,15.27%,11/1/11,other,OK
4041,13000,11.71%,11/1/11,debt_consolidation,VA
4042,14125,19.42%,11/1/11,debt_consolidation,FL
4043,4200,9.91%,11/1/11,debt_consolidation,LA
4044,10000,6.03%,11/1/11,car,CO
4045,9500,11.71%,11/1/11,credit_card,NJ
4046,17000,8.90%,11/1/11,debt_consolidation,CA
4047,30000,7.51%,11/1/11,major_purchase,NY
4048,30000,14.27%,11/1/11,debt_consolidation,WV
4049,5375,8.90%,11/1/11,other,CA
4050,14500,10.65%,11/1/11,debt_consolidation,FL
4051,30000,11.71%,11/1/11,debt_consolidation,MA
4052,28000,19.91%,11/1/11,debt_consolidation,MA
4053,20000,19.03%,11/1/11,home_improvement,TX
4054,5000,7.51%,11/1/11,debt_consolidation,KS
4055,15000,7.90%,11/1/11,debt_consolidation,NY
4056,13000,9.91%,11/1/11,debt_consolidation,FL
4057,28000,6.62%,11/1/11,home_improvement,NV
4058,7200,15.27%,11/1/11,debt_consolidation,NY
4059,5225,9.91%,11/1/11,credit_card,FL
4060,16000,17.27%,11/1/11,other,CA
4061,5000,16.77%,11/1/11,debt_consolidation,CA
4062,25000,16.77%,11/1/11,debt_consolidation,VA
4063,20000,15.96%,11/1/11,credit_card,CA
4064,10000,6.03%,11/1/11,debt_consolidation,FL
4065,14000,8.90%,11/1/11,debt_consolidation,MN
4066,12000,15.27%,11/1/11,credit_card,NJ
4067,4600,7.90%,11/1/11,credit_card,AZ
4068,7000,7.90%,11/1/11,debt_consolidation,VA
4069,12000,7.90%,11/1/11,debt_consolidation,FL
4070,20000,14.65%,11/1/11,debt_consolidation,CA
4071,35000,18.25%,11/1/11,other,SC
4072,20000,15.96%,11/1/11,debt_consolidation,KY
4073,18225,19.91%,11/1/11,debt_consolidation,CA
4074,6500,10.65%,11/1/11,wedding,CA
4075,20000,14.65%,11/1/11,home_improvement,WI
4076,25000,10.65%,11/1/11,credit_card,GA
4077,8500,7.51%,11/1/11,debt_consolidation,MD
4078,4000,10.65%,11/1/11,car,VA
4079,12000,13.49%,11/1/11,debt_consolidation,VA
4080,6400,7.90%,11/1/11,debt_consolidation,IL
4081,35000,20.30%,11/1/11,debt_consolidation,VA
4082,16000,11.71%,11/1/11,debt_consolidation,PA
4083,11000,16.77%,11/1/11,debt_consolidation,NY
4084,3200,11.71%,11/1/11,debt_consolidation,OR
4085,3300,11.71%,11/1/11,wedding,AL
4086,9400,6.62%,11/1/11,credit_card,CO
4087,4000,13.49%,11/1/11,car,PA
4088,25000,12.42%,11/1/11,debt_consolidation,AZ
4089,12000,10.65%,11/1/11,debt_consolidation,MD
4090,10000,12.42%,11/1/11,home_improvement,OH
4091,12000,6.03%,11/1/11,debt_consolidation,OK
4092,18000,7.90%,11/1/11,debt_consolidation,GA
4093,15000,21.28%,11/1/11,debt_consolidation,NC
4094,14075,9.91%,11/1/11,debt_consolidation,SC
4095,14125,21.28%,11/1/11,debt_consolidation,VA
4096,4800,17.58%,11/1/11,debt_consolidation,WV
4097,17175,18.25%,11/1/11,house,VA
4098,8000,6.03%,11/1/11,home_improvement,CA
4099,7125,11.71%,11/1/11,debt_consolidation,SC
4100,6500,10.65%,11/1/11,debt_consolidation,MA
4101,19000,17.58%,11/1/11,debt_consolidation,IL
4102,21000,12.42%,11/1/11,small_business,CA
4103,12000,10.65%,11/1/11,other,TX
4104,2850,7.51%,11/1/11,credit_card,MD
4105,13000,14.27%,11/1/11,debt_consolidation,WA
4106,8000,13.49%,11/1/11,debt_consolidation,TX
4107,1500,18.64%,11/1/11,vacation,CA
4108,30000,10.65%,11/1/11,debt_consolidation,MN
4109,9475,6.03%,11/1/11,debt_consolidation,WI
4110,9975,17.58%,11/1/11,car,LA
4111,3000,14.65%,11/1/11,home_improvement,NY
4112,20900,12.69%,11/1/11,credit_card,MD
4113,30000,22.74%,11/1/11,debt_consolidation,GA
4114,8000,6.62%,11/1/11,credit_card,CA
4115,6000,15.96%,11/1/11,wedding,TX
4116,2600,15.27%,11/1/11,major_purchase,IL
4117,11500,7.90%,11/1/11,debt_consolidation,TX
4118,5000,12.69%,11/1/11,major_purchase,MO
4119,6500,10.65%,11/1/11,other,TX
4120,14000,14.65%,11/1/11,debt_consolidation,FL
4121,24000,7.90%,11/1/11,home_improvement,MI
4122,12150,18.25%,11/1/11,debt_consolidation,VA
4123,5800,12.42%,11/1/11,debt_consolidation,CO
4124,12000,13.49%,11/1/11,other,VA
4125,6000,8.90%,11/1/11,car,CT
4126,12000,15.96%,11/1/11,home_improvement,NC
4127,5000,6.62%,11/1/11,debt_consolidation,FL
4128,23000,10.65%,11/1/11,debt_consolidation,CO
4129,2600,16.29%,11/1/11,debt_consolidation,MN
4130,3000,6.62%,11/1/11,home_improvement,OH
4131,10375,6.62%,11/1/11,debt_consolidation,VA
4132,7200,6.62%,11/1/11,major_purchase,NY
4133,17725,11.71%,11/1/11,debt_consolidation,TX
4134,15350,13.49%,11/1/11,debt_consolidation,WI
4135,4200,12.42%,11/1/11,home_improvement,OK
4136,4200,6.62%,11/1/11,car,PA
4137,10000,7.51%,11/1/11,debt_consolidation,NY
4138,5000,6.03%,11/1/11,major_purchase,FL
4139,14125,6.62%,11/1/11,debt_consolidation,GA
4140,20000,18.25%,11/1/11,debt_consolidation,VA
4141,9000,18.25%,11/1/11,small_business,FL
4142,10000,6.62%,11/1/11,debt_consolidation,NY
4143,10000,11.71%,11/1/11,debt_consolidation,OH
4144,5400,8.90%,11/1/11,other,TX
4145,9000,10.65%,11/1/11,credit_card,OH
4146,4800,18.25%,11/1/11,car,AR
4147,24000,15.96%,11/1/11,debt_consolidation,NC
4148,17600,17.27%,11/1/11,debt_consolidation,NY
4149,12000,7.90%,11/1/11,credit_card,CA
4150,4925,11.71%,11/1/11,debt_consolidation,WV
4151,7200,11.71%,11/1/11,car,FL
4152,30000,19.03%,11/1/11,debt_consolidation,CA
4153,15000,13.49%,11/1/11,wedding,VA
4154,20000,7.90%,11/1/11,credit_card,VA
4155,8000,16.77%,11/1/11,debt_consolidation,NY
4156,18000,7.90%,11/1/11,debt_consolidation,CA
4157,6400,11.71%,11/1/11,home_improvement,NC
4158,9600,6.62%,11/1/11,debt_consolidation,OH
4159,7000,6.03%,11/1/11,home_improvement,MO
4160,7000,10.65%,11/1/11,other,CA
4161,9600,9.91%,11/1/11,wedding,CA
4162,10000,7.90%,11/1/11,home_improvement,MI
4163,18000,7.90%,11/1/11,credit_card,CA
4164,8400,6.62%,11/1/11,debt_consolidation,CA
4165,33600,13.49%,11/1/11,debt_consolidation,CA
4166,7200,10.65%,11/1/11,debt_consolidation,TX
4167,4550,16.77%,11/1/11,moving,MD
4168,18750,16.77%,11/1/11,debt_consolidation,GA
4169,5600,7.90%,11/1/11,home_improvement,CA
4170,4200,12.69%,11/1/11,credit_card,NC
4171,12600,12.42%,11/1/11,home_improvement,AR
4172,4800,12.42%,11/1/11,debt_consolidation,UT
4173,3000,7.90%,11/1/11,car,PA
4174,22000,12.42%,11/1/11,debt_consolidation,FL
4175,20000,13.49%,11/1/11,debt_consolidation,CA
4176,4750,7.90%,11/1/11,other,MN
4177,7500,6.62%,11/1/11,credit_card,IL
4178,15000,17.58%,11/1/11,debt_consolidation,VA
4179,30000,18.64%,11/1/11,debt_consolidation,NJ
4180,9000,7.90%,11/1/11,debt_consolidation,NH
4181,35000,10.65%,11/1/11,debt_consolidation,CT
4182,26000,18.64%,11/1/11,debt_consolidation,WI
4183,6400,7.90%,11/1/11,debt_consolidation,MA
4184,10800,16.29%,11/1/11,debt_consolidation,SC
4185,3000,14.27%,11/1/11,debt_consolidation,FL
4186,4500,13.49%,11/1/11,car,FL
4187,15000,7.90%,11/1/11,debt_consolidation,TX
4188,12600,19.42%,11/1/11,credit_card,CA
4189,25000,12.42%,11/1/11,home_improvement,KY
4190,10200,7.51%,11/1/11,credit_card,NJ
